Genus,kingdomGBIF,phylumGBIF,classGBIF,orderGBIF,familyGBIF
Neophilaenus,Animalia,Arthropoda,Insecta,Hemiptera,Aphrophoridae
Philaenus,Animalia,Arthropoda,Insecta,Hemiptera,Aphrophoridae
Psammotettix,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Rhopalopyx,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Rhytistylus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Ribautodelphax,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae
S.,Plantae,Arthropoda,Malacostraca,Ammonoidea,Hoplitidae
Stenocranus,Animalia,Arthropoda,Insecta,Hemiptera,Araeopidae
Streptanus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Turrutus,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Ulopa,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Zygina,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae
Odocoileus,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae
Arnara,Animalia,Arthropoda,Arachnida,Pseudoscorpiones,Chthoniidae
Bradycellus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Elaphrus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Miscodera,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Olisthopus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Trichocellus,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae
Agroeca,Animalia,Arthropoda,Arachnida,Araneae,Liocranidae
Agyneta,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Allomengea,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Alopecosa,Animalia,Arthropoda,Arachnida,Araneae,NA
Baryphyma,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Bathyphantes,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Bolyphantes,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Centromerita,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Centromerus,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Ceratinella,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Dicymbium,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Drassodes,NA,NA,NA,NA,NA
Erigone,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Erigonella,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Gonatium,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Gongylidiellum,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Haplodrassus,Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae
Lepthyphantes,Animalia,Arthropoda,Arachnida,Aranaea,Linyphiidae
Maro,NA,NA,NA,NA,NA
Maso,NA,NA,NA,NA,NA
Meioneta,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae
Micrargus,NA,NA,NA,NA,NA
Mitopus,Animalia,Arthropoda,Arachnida,Opiliones,Phalangiidae
